199401,AL,7.5
199401,AK,8.8
199401,AZ,6.5
199401,AR,6.6
199401,CA,9.9
199401,CO,5.4
199401,CT,6.3
199401,DE,6.1
199401,FL,7.2
199401,GA,6.5
199401,HI,5.2
199401,ID,7.1
199401,IL,7.6
199401,IN,5.9
199401,IA,4.7
199401,KS,5.6
199401,KY,6.4
199401,LA,8.9
199401,ME,8.5
199401,MD,6.2
199401,MA,7.3
199401,MI,8.1
199401,MN,5.7
199401,MS,7.1
199401,MO,6.6
199401,MT,6.8
199401,NE,3.3
199401,NV,7.2
199401,NH,6.1
199401,NJ,7.7
199401,NM,7.2
199401,NY,8.4
199401,NC,5.1
199401,ND,4.9
199401,OH,7.4
199401,OK,6.6
199401,OR,7.3
199401,PA,7.3
199401,RI,8.7
199401,SC,7.6
199401,SD,3.9
199401,TN,5.9
199401,TX,7.5
199401,UT,4.0
199401,VT,5.8
199401,VA,5.7
199401,WA,8.0
199401,WV,11.0
199401,WI,5.7
199401,WY,6.6
199402,AL,7.3
199402,AK,9.0
199402,AZ,6.1
199402,AR,6.3
199402,CA,9.7
199402,CO,5.2
199402,CT,6.2
199402,DE,6.1
199402,FL,6.8
199402,GA,6.2
199402,HI,5.3
199402,ID,6.6
199402,IL,7.3
199402,IN,5.8
199402,IA,4.5
199402,KS,5.3
199402,KY,6.8
199402,LA,8.0
199402,ME,8.8
199402,MD,6.2
199402,MA,6.9
199402,MI,7.6
199402,MN,5.2
199402,MS,6.9
199402,MO,6.4
199402,MT,6.5
199402,NE,3.2
199402,NV,6.8
199402,NH,6.0
199402,NJ,7.8
199402,NM,6.8
199402,NY,8.3
199402,NC,5.1
199402,ND,4.8
199402,OH,7.0
199402,OK,6.5
199402,OR,7.2
199402,PA,7.2
199402,RI,8.2
199402,SC,7.4
199402,SD,3.8
199402,TN,5.8
199402,TX,7.3
199402,UT,4.1
199402,VT,5.5
199402,VA,5.6
199402,WA,8.1
199402,WV,11.2
199402,WI,6.1
199402,WY,6.5
199403,AL,6.4
199403,AK,8.7
199403,AZ,6.0
199403,AR,5.9
199403,CA,9.4
199403,CO,5.2
199403,CT,5.7
199403,DE,5.7
199403,FL,6.7
199403,GA,5.8
199403,HI,5.4
199403,ID,6.4
199403,IL,6.8
199403,IN,5.7
199403,IA,4.3
199403,KS,5.3
199403,KY,6.1
199403,LA,7.9
199403,ME,8.4
199403,MD,5.9
199403,MA,6.7
199403,MI,7.3
199403,MN,5.2
199403,MS,6.6
199403,MO,6.1
199403,MT,6.3
199403,NE,3.1
199403,NV,6.5
199403,NH,5.6
199403,NJ,7.7
199403,NM,6.8
199403,NY,7.9
199403,NC,4.6
199403,ND,4.8
199403,OH,6.8
199403,OK,6.1
199403,OR,6.8
199403,PA,7.1
199403,RI,7.9
199403,SC,6.8
199403,SD,3.9
199403,TN,5.5
199403,TX,6.9
199403,UT,3.9
199403,VT,5.4
199403,VA,5.4
199403,WA,7.6
199403,WV,10.5
199403,WI,5.8
199403,WY,6.3
199404,AL,5.8
199404,AK,8.2
199404,AZ,5.9
199404,AR,5.4
199404,CA,8.9
199404,CO,4.5
199404,CT,5.4
199404,DE,5.2
199404,FL,6.5
199404,GA,5.3
199404,HI,5.4
199404,ID,5.7
199404,IL,6.0
199404,IN,5.0
199404,IA,3.5
199404,KS,4.8
199404,KY,5.2
199404,LA,7.6
199404,ME,7.7
199404,MD,5.3
199404,MA,6.1
199404,MI,6.2
199404,MN,4.3
199404,MS,6.2
199404,MO,5.2
199404,MT,5.3
199404,NE,2.5
199404,NV,6.3
199404,NH,4.9
199404,NJ,7.0
199404,NM,6.3
199404,NY,7.3
199404,NC,4.2
199404,ND,3.9
